ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;Partido gobierno autonomico;gobierno_auto;gobierno_central;
AND;1; Oña Sevilla, María Esperanza;Popular Andaluz;PP;SEVILLA;X;Vicepresidenta Parlamento;;;esperanzaona;;PSOE;0;1;
AND;1; Pachón Martín, Brígida;Socialista;PSOE;SEVILLA;X; ;;;BrigidaPachon;;PSOE;1;0;
AND;1; Palacios Pérez, Amelia;Popular Andaluz;PP;JAÉN;X; ;;;ameliapalacios3;;PSOE;0;1;
AND;1; Pérez Fernández, Verónica;Socialista;PSOE;SEVILLA;X;Secretaria Primera Mesa Parlamento;;;nicadichiara;;PSOE;1;0;
AND;0; Pérez Ramírez, Diego;Socialista;PSOE;MÁLAGA;X; ;;;DIEGO_PEREZR;;PSOE;1;0;
AND;1; Pérez Rodríguez, María Soledad;Socialista;PSOE;CÓRDOBA;X; ;;;msoledadperez;;PSOE;1;0;
AND;1; Pérez Rodríguez, María del Carmen;Izquierda Unida Los Verdes-Convocatoria por Andalucía;IULV-CA;GRANADA;X; ;;;MCarmenPerezIU;;PSOE;0;0;
AND;0; Pizarro Medina, Luis;Socialista;PSOE;CÁDIZ;X; ;;;;;PSOE;1;0;
AND;1; Prieto Bonilla, María Carmen ;NO ADSCRITOS;;MÁLAGA;X;;;;paxtoine;;PSOE;0;0;
AND;1; Ramírez Moreno, María Nieves;Socialista;PSOE;MÁLAGA;X; ;;;MNievesRamirez;;PSOE;1;0;
AND;0; Raynaud Soto, Jaime;Popular Andaluz;PP;SEVILLA;X; ;;;Jaime_raynaud;;PSOE;0;1;
AND;1; Redondo Calvillo, María de la O;Popular Andaluz;PP;CÓRDOBA;X; ;;;mdelaoredondo;;PSOE;0;1;
AND;1; Redondo Crespo, Natividad;Socialista;PSOE;JAÉN;X; ;;;;;PSOE;1;0;
AND;0; Rodríguez González, Jesús;Podemos Andalucía;PODEMOS;CÁDIZ;X; ;;;JesusRodr_;;PSOE;0;0;
AND;1; Rodríguez-Rubio Vázquez, María Teresa;Podemos Andalucía;PODEMOS;CÁDIZ;X;Portavoz ;;;TeresaRodr_;;PSOE;0;0;
AND;0; Romero Jiménez, Sergio;Ciudadanos;CIUDADANOS;CÁDIZ;X;Portavoz Adjunto ;;;sergioromeroj;;PSOE;0;0;
AND;1; Romero Mojarro, Modesta;Socialista;PSOE;HUELVA;X; ;;;;;PSOE;1;0;
AND;0; Romero Moreno, Félix;Popular Andaluz;PP;MÁLAGA;X; ;;;_FelixRomero;;PSOE;0;1;
AND;0; Romero Sánchez, Jesús;Podemos Andalucía;PODEMOS;HUELVA;X;Presidente de Grupo Parlamentario ;;;jromerosanchez1;;PSOE;0;0;
AND;1; Rubiño Yáñez, Beatriz;Socialista;PSOE;MÁLAGA;X; ;;;brubinoyanez;;PSOE;1;0;
AND;1; Ruiz Castro, Noelia;Socialista;PSOE;CÁDIZ;X;Portavoz Adjunta ;;;Noelia_Ruiz;;PSOE;1;0;
AND;0; Ruiz García, Jesús María;Socialista;PSOE;CÓRDOBA;X; ;;;jesusmaria_ruiz;;PSOE;1;0;
AND;1; Ruiz Navarro, Sonia María;Socialista;PSOE;CÓRDOBA;X; ;;;Sonia_R_Navarro;;PSOE;1;0;
AND;1; Ruiz Rodríguez, Gema del Rocío;Socialista;PSOE;MÁLAGA;X; ;;;gema__ruiz;;PSOE;1;0;
AND;1; Ruiz-Sillero Bernal, María Teresa;Popular Andaluz;PP;CÁDIZ;X; ;;;TereRuizSillero;;PSOE;0;1;
AND;0; Saldaña Moreno, Antonio;Popular Andaluz;PP;CÁDIZ;X; ;;;AntonioSaldanaM;;PSOE;0;1;
AND;0; Sánchez Haro, Rodrigo;Socialista;PSOE;ALMERÍA;X; ;;;rodrigosanhar;;PSOE;1;0;
