ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;;
AND;1; Maese Villacampa, Araceli;Socialista;PSOE;CÁDIZ;X; ;;;aramaese;;;
AND;0; Maíllo Cañadas, Antonio;Izquierda Unida Los Verdes-Convocatoria por Andalucía;;SEVILLA;X;Portavoz ;;;MailloAntonio;;;
AND;1; Manzano Pérez, Olga;Socialista;PSOE;GRANADA;X; ;;;OlgaManPer;;;
AND;0; Marín Lozano, Juan Antonio;Ciudadanos;CIUDADANOS;SEVILLA;X;Presidente y Portavoz de Grupo Parlamentario ;;;juanmarin_cs;;;
AND;1; Márquez Romero, María;Socialista;PSOE;HUELVA;X; ;;;MariaMarquez88;;;
AND;1; Martín Moya, Aránzazu;Popular Andaluz;PP;ALMERÍA;X; ;;;aranchamartinpp;;;
AND;1; Martínez Martín, Alicia;Popular Andaluz;PP;SEVILLA;X; ;;;alicia_mm;;;
AND;1; Mestre García, Ana María;Popular Andaluz;PP;CÁDIZ;X; ;;;AnaMestrePP;;;
AND;0; Millán Muñoz, Julio;Socialista;PSOE;JAÉN;X; ;;;Juliomillanjaen;;;
AND;0; Miranda Aranda, José Antonio;Popular Andaluz;PP;JAÉN;X; ;;;jamiranda_a;;;
AND;1; Molina Cañadas, María Carmen;Podemos Andalucía;PODEMOS;MÁLAGA;X; ;;;CarmenMolina_Q;;;
AND;0; Molina Rascón, Adolfo Manuel;Popular Andaluz;PP;CÓRDOBA;X; ;;;marifrangr;;;
AND;1; Montero Cuadrado, María Jesús;Socialista;PSOE;SEVILLA;X; ;;;mjmonteroc;;;
AND;0; Moreno Bonilla, Juan Manuel;Popular Andaluz;PP;MÁLAGA;X;Presidente y Portavoz de Grupo Parlamentario ;;;JuanMa_Moreno;;;
AND;0; Moreno de Acevedo Yagüe, Juan Ignacio;Podemos Andalucía;PODEMOS;SEVILLA;X;Vicepresidente tercero Mesa parlamento;;;hackbogado;;;
AND;0; Moscoso Sánchez, David Jesús;Podemos Andalucía;PODEMOS;CÓRDOBA;X;Secretario General Grupo Parlamentario ;;;_davidmoscoso;;;
AND;0; Muñoz Madrid, Jacinto;Popular Andaluz;PP;CÁDIZ;X; ;;;jacintomunozma;;;
AND;0; Muñoz Sánchez, José;Socialista;PSOE;SEVILLA;X;Secretario General Grupo Parlamentario y Portavoz Adjunto ;;;pepemsanchez;;;
AND;1; Navarro Pérez, Patricia;Popular Andaluz;PP;MÁLAGA;X; ;;;Navarro_PP;;;
AND;1; Nieto Castro, Inmaculada;Izquierda Unida Los Verdes-Convocatoria por Andalucía;;CÁDIZ;X;Portavoz Adjunta ;;;InmaNietoC;;;
AND;1; Oña Sevilla, María Esperanza;Popular Andaluz;PP;SEVILLA;X;Vicepresidenta Parlamento;;;esperanzaona;;;
AND;1; Pachón Martín, Brígida;Socialista;PSOE;SEVILLA;X; ;;;BrigidaPachon;;;
AND;1; Palacios Pérez, Amelia;Popular Andaluz;PP;JAÉN;X; ;;;ameliapalacios3;;;
AND;1; Pérez Fernández, Verónica;Socialista;PSOE;SEVILLA;X;Secretaria Primera Mesa Parlamento;;;nicadichiara;;;
AND;0; Pérez Ramírez, Diego;Socialista;PSOE;MÁLAGA;X; ;;;DIEGO_PEREZR;;;
AND;1; Pérez Rodríguez, María Soledad;Socialista;PSOE;CÓRDOBA;X; ;;;msoledadperez;;;
AND;1; Pérez Rodríguez, María del Carmen;Izquierda Unida Los Verdes-Convocatoria por Andalucía;;GRANADA;X; ;;;MCarmenPerezIU;;;
